"skim_type","skim_variable","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"numeric","v1028108",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.213194116665,792.337104259749,0,0,231.66941493,625.38777425,14491.77913924,"▇▁▁▁▁"
"numeric","v1028109",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.857461309421,792.884054694978,0,0,235.64714557,615.327755205,14979.12168461,"▇▁▁▁▁"
"numeric","v1028110",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.899014337863,803.284182772875,0,0,240.05561573,625.73762518,20821.39233976,"▇▁▁▁▁"
"numeric","v1028111",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.107966324189,795.392552876475,0,0,235.79931757,620.3137434475,21728.39103645,"▇▁▁▁▁"
"numeric","v1028112",0,1,NA,NA,NA,NA,NA,NA,NA,NA,480.838090994191,784.716356504364,0,0,235.27488232,625.90981737,12362.67912694,"▇▁▁▁▁"
"numeric","v1028113",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.368603561095,799.04403511488,0,0,237.544366765,620.971080275,22890.37621064,"▇▁▁▁▁"
"numeric","v1028114",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.351665683663,768.039781592458,0,0,242.75738432,625.94181259,11033.60093796,"▇▁▁▁▁"
"numeric","v1028115",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.159969698588,784.566865672105,0,0,234.418792885,623.45618056,12715.01559274,"▇▁▁▁▁"
"numeric","v1028116",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.389451254533,813.865451386651,0,0,231.364489095,619.4657770775,19785.37781277,"▇▁▁▁▁"
"numeric","v1028117",0,1,NA,NA,NA,NA,NA,NA,NA,NA,481.246085875951,825.20568509243,0,0,235.58275258,623.7044628675,29957.96081589,"▇▁▁▁▁"
